ID,Business,Street Address,City,State,ZIP,Latitude,Longitude,Type of Installation,Georeference
130,Bolla Operating LI Corp,737 Montauk Highway,Shirley,NY,11967,40.800986,-72.87095,Permanent Generator,POINT (-72.87095 40.800986)
1003,Lotus Management Group NY Inc.,820 Hempstead Ave,West Hempstead,NY,11552,40.687596,-73.659477,Transfer Switch Only,POINT (-73.659477 40.687596)
570,Webster Oil Corp,1805 Webster Avenue,Bronx,NY,10457,40.845924,-73.902412,Transfer Switch Only,POINT (-73.902412 40.845924)
42,"OK Petroleum Distribution, Corp.",1862 5th Avenue,Brentwood,NY,11717,40.776791,-73.260221,Permanent Generator,POINT (-73.260221 40.776791)
780,"East River Petroleum Realty, LLC",35-15 Greenpoint Av,Queens,NY,11101,40.73775,-73.930815,Transfer Switch Only,POINT (-73.930815 40.73775)
372,BP Products North America Inc.,944 Central Park Avenue,Yonkers,NY,10704,40.934148,-73.855736,Transfer Switch Only,POINT (-73.855736 40.934148)
504,Bill Wolf Petroleum Maintenance LLC,1769 Arthur Kill Road,Staten Island,NY,10312,40.559363,-74.197622,Transfer Switch Only,POINT (-74.197622 40.559363)
606,"Cumberland Farms, Inc.",150 Morris Ave,Holtsville,NY,11742,40.819969,-73.059821,Transfer Switch Only,POINT (-73.059821 40.819969)
135,"Car Care of Manhasset, Inc",1111 Northern Blvd,"Manhasset, NY 11030",NY,11030,40.790003,-73.704403,Permanent Generator,POINT (-73.704403 40.790003)
74,Vandale Motors Inc.,5832 Broadway,Bronx,NY,10463,40.885581,-73.90001,Permanent Generator,POINT (-73.90001 40.885581)
129,PMG Northeast LLC,43 Glen Cove Road,Glen Cove,NY,11542,40.862324,-73.633607,Permanent Generator,POINT (-73.633607 40.862324)
344,BP Products North America Inc.,9111 4th Avenue,Brooklyn,NY,11209,40.618622,-74.029814,Transfer Switch Only,POINT (-74.029814 40.618622)
238,Hess Corporation,1797 Joshuas Path,Central Islip,NY,11722,40.787425,-73.220177,Transfer Switch Only,POINT (-73.220177 40.787425)
106,Global Montello Group Corp.,1880 Front Street,East Meadow,NY,11554,40.719601,-73.564167,Permanent Generator,POINT (-73.564167 40.719601)
245,"Farrow's Auto Service, Inc.",332 Manville Road,Pleasantville,NY,10570,41.135209,-73.790228,Transfer Switch Only,POINT (-73.790228 41.135209)
793,"Kirmani Petroleum, Inc.",569 North Avenue,New Rochelle,NY,10801,40.921563,-73.78749,Transfer Switch Only,POINT (-73.78749 40.921563)
3,Bolla Operating LI Corp,301 W. Merrick Road,Freeport,NY,11520,40.651821,-73.593562,Permanent Generator,POINT (-73.593562 40.651821)
939,Food and Gas of Ardsley Inc.,730 Saw Mill River Rd,Ardsley,NY,10502,41.013241,-73.846414,Transfer Switch and Generator,POINT (-73.846414 41.013241)
267,NY Fuel Distributors LLC,223 Boston Post Rd,Port Chester,NY,10573,40.996487,-73.669163,Transfer Switch Only,POINT (-73.669163 40.996487)
634,"Cumberland Farms, Inc.",1589 Merrick Road,Merrick,NY,11566,40.654154,-73.563117,Transfer Switch Only,POINT (-73.563117 40.654154)
361,BP Products North America Inc.,49-04 College Point Boulevard,Queens,NY,11355,40.752151,-73.8326,Transfer Switch Only,POINT (-73.8326 40.752151)
806,Jamaica Gas Corp.,784 Jamaica Avenue,Brooklyn,NY,11208,40.679712,-73.880213,Transfer Switch Only,POINT (-73.880213 40.679712)
206,Hess Corporation,117-08 Springfield Boulevard,Queens,NY,11411,40.696141,-73.743972,Transfer Switch Only,POINT (-73.743972 40.696141)
509,Bill Wolf Petroleum Maintenance LLC,145 Roslyn Road,Roslyn Heights,NY,11577,40.789522,-73.640945,Transfer Switch Only,POINT (-73.640945 40.789522)
312,Metro NY Dealer Stations LLC,195 Rt 25A,East Setauket,NY,11733,40.942166,-73.104862,Transfer Switch Only,POINT (-73.104862 40.942166)
